Driver,Car_Number,Team,Component_Type,Count,Limit,As_Of_Race,As_Of_Date,Source_Set
BOR,5,Audi,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
BOR,5,Audi,MGU-K,2,3,Japanese Grand Prix,2026-03-28,australia-china-japan
BOR,5,Audi,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
BOR,5,Audi,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
BOR,5,Audi,PU-ANC,2,6,Japanese Grand Prix,2026-03-28,australia-china-japan
GAS,10,Alpine Mercedes,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
GAS,10,Alpine Mercedes,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
GAS,10,Alpine Mercedes,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
GAS,10,Alpine Mercedes,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
GAS,10,Alpine Mercedes,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
GAS,10,Alpine Mercedes,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
GAS,10,Alpine Mercedes,PU-ANC,1,6,Japanese Grand Prix,2026-03-28,australia-china-japan
COL,43,Alpine Mercedes,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
COL,43,Alpine Mercedes,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
COL,43,Alpine Mercedes,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
COL,43,Alpine Mercedes,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
COL,43,Alpine Mercedes,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
COL,43,Alpine Mercedes,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
COL,43,Alpine Mercedes,PU-ANC,1,6,Japanese Grand Prix,2026-03-28,australia-china-japan
PER,11,Cadillac Ferrari,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
PER,11,Cadillac Ferrari,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
PER,11,Cadillac Ferrari,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
PER,11,Cadillac Ferrari,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
PER,11,Cadillac Ferrari,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
PER,11,Cadillac Ferrari,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
PER,11,Cadillac Ferrari,PU-ANC,1,6,Japanese Grand Prix,2026-03-28,australia-china-japan
BOT,77,Cadillac Ferrari,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
BOT,77,Cadillac Ferrari,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
BOT,77,Cadillac Ferrari,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
BOT,77,Cadillac Ferrari,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
BOT,77,Cadillac Ferrari,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
BOT,77,Cadillac Ferrari,PU-CE,2,3,Japanese Grand Prix,2026-03-28,australia-china-japan
BOT,77,Cadillac Ferrari,PU-ANC,2,6,Japanese Grand Prix,2026-03-28,australia-china-japan
